LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
178570065c28632f2c8938d0ce00c2049c80cf1df3e3d25405def6983b35f141,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
2df8c45af49bfa1a5123c3636f902b2d65929553833bd6cf91b151f236ccce10,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
2df8c45af49bfa1a5123c3636f902b2d65929553833bd6cf91b151f236ccce10,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
2df8c45af49bfa1a5123c3636f902b2d65929553833bd6cf91b151f236ccce10,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
40573d3798ce94eafe8bb21a9c3af12b9a3cdde4bded51a52837468d61cac0ec,1,Internal or external wall insulation,Internal or external wall insulation,7.0,,"£4,000 - £14,000"
40573d3798ce94eafe8bb21a9c3af12b9a3cdde4bded51a52837468d61cac0ec,2,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
4963c6f58432e4affea8b055ccb3ca204be27fdb72106deaaa3234d46583fee0,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
4963c6f58432e4affea8b055ccb3ca204be27fdb72106deaaa3234d46583fee0,2,Heating controls (room thermostat),Heating controls (room thermostat),14.0,,£350 - £450
4963c6f58432e4affea8b055ccb3ca204be27fdb72106deaaa3234d46583fee0,3,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
4963c6f58432e4affea8b055ccb3ca204be27fdb72106deaaa3234d46583fee0,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
51286c7196f3fd3290d19121a86e7fd28303eacbb8715b1b59f8ca50ef904afb,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
51286c7196f3fd3290d19121a86e7fd28303eacbb8715b1b59f8ca50ef904afb,2,Heating controls (room thermostat),Heating controls (room thermostat),14.0,,£350 - £450
51286c7196f3fd3290d19121a86e7fd28303eacbb8715b1b59f8ca50ef904afb,3,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
51286c7196f3fd3290d19121a86e7fd28303eacbb8715b1b59f8ca50ef904afb,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
6bc4fb75a6c16858ce99bdb41ef1a33e9d4fb9a7dcec09e3d5c694e66583053a,1,Internal or external wall insulation,Internal or external wall insulation,7.0,,"£4,000 - £14,000"
6bc4fb75a6c16858ce99bdb41ef1a33e9d4fb9a7dcec09e3d5c694e66583053a,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
6bc4fb75a6c16858ce99bdb41ef1a33e9d4fb9a7dcec09e3d5c694e66583053a,3,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
6bc4fb75a6c16858ce99bdb41ef1a33e9d4fb9a7dcec09e3d5c694e66583053a,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
6d910bedd4f16e45bd99a117a8cf1c2b7517a59d4716c5983e41d35ecf6b2f3d,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
6d910bedd4f16e45bd99a117a8cf1c2b7517a59d4716c5983e41d35ecf6b2f3d,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
6d910bedd4f16e45bd99a117a8cf1c2b7517a59d4716c5983e41d35ecf6b2f3d,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
78d5d669b757524679df60c02b4adb410ea66d93b92d98e02886c4defa5a1de7,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
78d5d669b757524679df60c02b4adb410ea66d93b92d98e02886c4defa5a1de7,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
78d5d669b757524679df60c02b4adb410ea66d93b92d98e02886c4defa5a1de7,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
96b4f86e76a710d4982142bacb47d49992b02393a7a33ff2349311b75be090e3,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
96b4f86e76a710d4982142bacb47d49992b02393a7a33ff2349311b75be090e3,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
96b4f86e76a710d4982142bacb47d49992b02393a7a33ff2349311b75be090e3,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
c418bc93ba4ab5033739cbc4217ac1f6f1b9079683cdd295b0cc53ba5139ecd8,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
c418bc93ba4ab5033739cbc4217ac1f6f1b9079683cdd295b0cc53ba5139ecd8,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
c418bc93ba4ab5033739cbc4217ac1f6f1b9079683cdd295b0cc53ba5139ecd8,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
d2831681ac7c5a7c770a3df2a190dfcf0bd9563b3f82cafcf0b9c6e645353f5b,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
d2831681ac7c5a7c770a3df2a190dfcf0bd9563b3f82cafcf0b9c6e645353f5b,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
d2831681ac7c5a7c770a3df2a190dfcf0bd9563b3f82cafcf0b9c6e645353f5b,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
f689060ab3dfe5cbe535b51557dc5d9ebf89f957a0b706b147c48ac67d97ccd5,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
f689060ab3dfe5cbe535b51557dc5d9ebf89f957a0b706b147c48ac67d97ccd5,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
f689060ab3dfe5cbe535b51557dc5d9ebf89f957a0b706b147c48ac67d97ccd5,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
fdb2e428bdd951308b744ad5f393649f76b1a616f404145fe3f6c1cbbd2f8e8c,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
fdb2e428bdd951308b744ad5f393649f76b1a616f404145fe3f6c1cbbd2f8e8c,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
fdb2e428bdd951308b744ad5f393649f76b1a616f404145fe3f6c1cbbd2f8e8c,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
228dd2bd7141ee52f677439b6920eda76f5aafa21607fe21184ac12180835819,1,Cavity wall insulation,Cavity wall insulation,6.0,,"£500 - £1,500"
228dd2bd7141ee52f677439b6920eda76f5aafa21607fe21184ac12180835819,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
228dd2bd7141ee52f677439b6920eda76f5aafa21607fe21184ac12180835819,3,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
228dd2bd7141ee52f677439b6920eda76f5aafa21607fe21184ac12180835819,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£3,300 - £6,500"
228dd2bd7141ee52f677439b6920eda76f5aafa21607fe21184ac12180835819,5,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
32014d92e33eb5888ce220e7da607dca852a26a9b2535ec46dfb812caf345e23,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
32014d92e33eb5888ce220e7da607dca852a26a9b2535ec46dfb812caf345e23,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
32014d92e33eb5888ce220e7da607dca852a26a9b2535ec46dfb812caf345e23,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
60a250921660518bf6697b44d7782d84ac002950fae6dacc59234162ababd17c,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
60a250921660518bf6697b44d7782d84ac002950fae6dacc59234162ababd17c,2,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
c1b5a0e42071a584a82eaa7fad0a1cf3d75feb930dec6d1fe27c9fe51331c04c,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
c1b5a0e42071a584a82eaa7fad0a1cf3d75feb930dec6d1fe27c9fe51331c04c,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
c1b5a0e42071a584a82eaa7fad0a1cf3d75feb930dec6d1fe27c9fe51331c04c,3,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
c1b5a0e42071a584a82eaa7fad0a1cf3d75feb930dec6d1fe27c9fe51331c04c,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
dbbce66c3427b4fe6f3c37ccf27af66a3a76a5324ee2d2332491360f2040dbe2,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
dbbce66c3427b4fe6f3c37ccf27af66a3a76a5324ee2d2332491360f2040dbe2,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
dbbce66c3427b4fe6f3c37ccf27af66a3a76a5324ee2d2332491360f2040dbe2,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
ddf174164d5ae7a0ba372ffc3c0552071eb4d9d103ea37b568cd37b0b8067033,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
ddf174164d5ae7a0ba372ffc3c0552071eb4d9d103ea37b568cd37b0b8067033,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
ddf174164d5ae7a0ba372ffc3c0552071eb4d9d103ea37b568cd37b0b8067033,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
fa9113c7e93d3e6b49df71f9ba1e0a481142df1b957a672e76ff37fcb9342c5f,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,,£100 - £350
fa9113c7e93d3e6b49df71f9ba1e0a481142df1b957a672e76ff37fcb9342c5f,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
fa9113c7e93d3e6b49df71f9ba1e0a481142df1b957a672e76ff37fcb9342c5f,3,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
fa9113c7e93d3e6b49df71f9ba1e0a481142df1b957a672e76ff37fcb9342c5f,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
39c1c3599b63a6d20f05cdcde9fbfc3f35ec1c5d6562e29ffc03dd6fd4c68da5,1,Room-in-roof insulation,Room-in-roof insulation,46.0,,"£1,500 - £2,700"
39c1c3599b63a6d20f05cdcde9fbfc3f35ec1c5d6562e29ffc03dd6fd4c68da5,2,Cavity wall insulation,Cavity wall insulation,6.0,,"£500 - £1,500"
39c1c3599b63a6d20f05cdcde9fbfc3f35ec1c5d6562e29ffc03dd6fd4c68da5,3,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
39c1c3599b63a6d20f05cdcde9fbfc3f35ec1c5d6562e29ffc03dd6fd4c68da5,4,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
39c1c3599b63a6d20f05cdcde9fbfc3f35ec1c5d6562e29ffc03dd6fd4c68da5,5,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£3,300 - £6,500"
39c1c3599b63a6d20f05cdcde9fbfc3f35ec1c5d6562e29ffc03dd6fd4c68da5,6,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
3fbbd25461160c0e601d327d74ccc6fd5dfdd314772b97048804af8f9320edbd,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
3fbbd25461160c0e601d327d74ccc6fd5dfdd314772b97048804af8f9320edbd,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
3fbbd25461160c0e601d327d74ccc6fd5dfdd314772b97048804af8f9320edbd,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
7399d71a44bdd861aba62add2e96622d65b8b8dc35dfb3bbca5cddc500e1db95,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
7399d71a44bdd861aba62add2e96622d65b8b8dc35dfb3bbca5cddc500e1db95,2,Heating controls (room thermostat),Heating controls (room thermostat),14.0,,£350 - £450
7399d71a44bdd861aba62add2e96622d65b8b8dc35dfb3bbca5cddc500e1db95,3,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
7399d71a44bdd861aba62add2e96622d65b8b8dc35dfb3bbca5cddc500e1db95,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
ba25d1a17b052bbca86ece78da1a9b834a304aeef0f74ca4a2ce82c9ab3858cd,1,Room-in-roof insulation,Room-in-roof insulation,46,,"£1,500 - £2,700"
ba25d1a17b052bbca86ece78da1a9b834a304aeef0f74ca4a2ce82c9ab3858cd,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
ba25d1a17b052bbca86ece78da1a9b834a304aeef0f74ca4a2ce82c9ab3858cd,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
d421b34f82cdaee5a94a650362c035ccb99c5fd6227d74d2283faaa29c2c09f7,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
d421b34f82cdaee5a94a650362c035ccb99c5fd6227d74d2283faaa29c2c09f7,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
d421b34f82cdaee5a94a650362c035ccb99c5fd6227d74d2283faaa29c2c09f7,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
ee6f470364062412966f08dedbe5a979009cf71cb09a5992b2e1f7682450e465,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
ee6f470364062412966f08dedbe5a979009cf71cb09a5992b2e1f7682450e465,2,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
ee6f470364062412966f08dedbe5a979009cf71cb09a5992b2e1f7682450e465,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
0d6bbd400606616a7151a12c7c1822e8645aebe7d508af4a1916f3983916f01c,1,Room-in-roof insulation,Room-in-roof insulation,46.0,,"£1,500 - £2,700"
0d6bbd400606616a7151a12c7c1822e8645aebe7d508af4a1916f3983916f01c,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
0d6bbd400606616a7151a12c7c1822e8645aebe7d508af4a1916f3983916f01c,3,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2.0,,£15 - £30
0d6bbd400606616a7151a12c7c1822e8645aebe7d508af4a1916f3983916f01c,4,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£55
0d6bbd400606616a7151a12c7c1822e8645aebe7d508af4a1916f3983916f01c,5,Heating controls (room thermostat and TRVs),Heating controls (room thermostat and TRVs),12.0,,£350 - £450
0d6bbd400606616a7151a12c7c1822e8645aebe7d508af4a1916f3983916f01c,6,Replace boiler with new condensing boiler,Condensing boiler,20.0,,"£2,200 - £3,000"
0d6bbd400606616a7151a12c7c1822e8645aebe7d508af4a1916f3983916f01c,7,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
0d6bbd400606616a7151a12c7c1822e8645aebe7d508af4a1916f3983916f01c,8,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
2678387dbbb099eeb1bab5dd622a8a04a9b4648fed09cd5836ad93a381b7f9be,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
2678387dbbb099eeb1bab5dd622a8a04a9b4648fed09cd5836ad93a381b7f9be,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
2678387dbbb099eeb1bab5dd622a8a04a9b4648fed09cd5836ad93a381b7f9be,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
6a18d23177b1cedb817c015ee8577b0620b536cb5edb0339ed5ddf48291f0b0e,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
6a18d23177b1cedb817c015ee8577b0620b536cb5edb0339ed5ddf48291f0b0e,2,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£15
6a18d23177b1cedb817c015ee8577b0620b536cb5edb0339ed5ddf48291f0b0e,3,Heating controls (thermostatic radiator valves),Heating controls (TRVs),13.0,,£350 - £450
6a18d23177b1cedb817c015ee8577b0620b536cb5edb0339ed5ddf48291f0b0e,4,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
6a18d23177b1cedb817c015ee8577b0620b536cb5edb0339ed5ddf48291f0b0e,5,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
6b6faaa1f47a041887d74a865db8f8242fd060740e5f7410f0e2f57f56768a98,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
6b6faaa1f47a041887d74a865db8f8242fd060740e5f7410f0e2f57f56768a98,2,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£35
6b6faaa1f47a041887d74a865db8f8242fd060740e5f7410f0e2f57f56768a98,3,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
6b6faaa1f47a041887d74a865db8f8242fd060740e5f7410f0e2f57f56768a98,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
7f01647ffc5e7f2fbba6d9fb25711aebdf9881325fd8df4a1e965752729a4d75,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
7f01647ffc5e7f2fbba6d9fb25711aebdf9881325fd8df4a1e965752729a4d75,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
7f01647ffc5e7f2fbba6d9fb25711aebdf9881325fd8df4a1e965752729a4d75,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
95085b0500da339fa3ee618c61cfac947fd0200794dbe6c08169dd458d8233c2,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
95085b0500da339fa3ee618c61cfac947fd0200794dbe6c08169dd458d8233c2,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
95085b0500da339fa3ee618c61cfac947fd0200794dbe6c08169dd458d8233c2,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
967011996128505313bfa48e997b02a4a580a9872adec4145a5ae6eb5c8cbcd1,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
967011996128505313bfa48e997b02a4a580a9872adec4145a5ae6eb5c8cbcd1,2,Solar water heating,Solar water heating,19.0,,"£4,000 - £6,000"
967011996128505313bfa48e997b02a4a580a9872adec4145a5ae6eb5c8cbcd1,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
caceed1dc00dafee13487e73428cfd80690a20b3d3abf8bbc3b301bba6c12b17,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
caceed1dc00dafee13487e73428cfd80690a20b3d3abf8bbc3b301bba6c12b17,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£20
caceed1dc00dafee13487e73428cfd80690a20b3d3abf8bbc3b301bba6c12b17,3,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
caceed1dc00dafee13487e73428cfd80690a20b3d3abf8bbc3b301bba6c12b17,4,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34,,"£3,500 - £5,500"
ccd43570881466d5a17dbc00eac0abf4956ba24dc1db00a815ed69e347b50dfb,1,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
ccd43570881466d5a17dbc00eac0abf4956ba24dc1db00a815ed69e347b50dfb,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£15
ccd43570881466d5a17dbc00eac0abf4956ba24dc1db00a815ed69e347b50dfb,3,Solar water heating,Solar water heating,19,,"£4,000 - £6,000"
